References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"C1, C2",2,C 22pF 0805,KEMET,C0805C220J5GACTU,AVX,08051A220J4T2A,,,399-1113-1-ND,80C0805C220J5G,2644258P,,1625484
"C3, C5",2,C 0.1uF 0805,Yageo,CC0805KRX7R9BB104,Murata,GRM21BR71H104KA01L,,,311-1140-6-ND,603CC805KRX7R9BB104,6698842,,3019949
C4,1,C 1uF 0805,TDK,C2012X7S2A105K125AB,Yageo,CC0805KKX7R8BB105,,,311-1456-6-ND,603CC805KKX7R8BB105,7883054P,,1458903
"D1, D2",2,LED 0805 red,Broadcom,HSMS-C170,VCC,7012X1,,,516-1429-6-ND,630HSMSC170,1371306,,5790839
J23,1,USB B Micro Type connector Micro-B Molex 47346-0001,,47346-0001,Molex,47346-0001,,,WM17141CT-ND,538473460001,7025475,,1568026
"R1, R5",2,R 10K 0805,Vishay,CRCW080510K0FKEA,Panasonic,ERJ-6ENF1002V,Yageo,RC0805FR-0710KL,311-10.0KCRDKR-ND,603RC0805FR0710KL,6790816,,2148862
"R2, R3",2,R 22  0805,Panasonic,ERJ-6GEYJ220V,Yageo,RC0805JR-0722RL,,,311-22ARCT-ND,603RC0805JR0722RL,7326602,,1799493
"R4, R6",2,R 330 0805,Yageo,RC0805FR-07330RL,TE Connectivity,CPF0805B330RE1,,,311-330CRCT-ND,603RC0805FR07330RL,6183195,,9237429
TH1,1,F 1206 0.5A,Bel Fuse,0ZCJ0050FF2G,Littelfuse,1206L050YR,,,507-1802-1-ND,5300ZCJ0050FF2G,7874198,,2848530
U1,1,ATmega32U4-AU,Microchip,ATMEGA32U4-AUR,Microchip,ATMEGA32U4-AU,,,ATMEGA32U4-AURDKR-ND,556ATMEGA32U4AUR,1310289,,1748525
Y1,1,Y 16M HC49,Abracon,ABLS-16.000MHZ-B4-T,,,,,535-10226-1-ND,815ABLS16.0MT,1710560,,2467721
